
|*|	CHOCO1 CHOCOLATE GALAXY 
___________________________________	
|*|	CHOCO2 MAGIC CHOCOLATE 
___________________________________	
|*|	CHOCO3 CHOCO ROCKET 
___________________________________	
|*|	GUMMI1 GOMITA ATOMICA 
___________________________________	
|*|	GUMMI2 OSITOS MARCIANOS 
___________________________________	
|*|	GUMMI3 GOMITA PURPURINA 
___________________________________	
|*|	LOLLY1 PLANETA FANTASMA 
___________________________________	
|*|	LOLLY2 LOLLY BOOM 
___________________________________	
|*|	LOLLY3 PALETA PLANETA X 
___________________________________	
|*|	CHCLE1 CHICLE ESPUMITA
___________________________________	
|*|	CHCLE2 SUPER NOVA
___________________________________	
|*|	CHCLE3 DR.BURBUJA
___________________________________	

